number,val_loss,train_loss,alpha,dropout,layer_size,lr,num_layers,optimizer,duration_sec,mae,r2,seed,duration
38,1.6752775309214485e-06,5.4859824558661785e-06,0.0,0.0,972,0.0009598378534894065,18,AdamW,3.291053295135498,0.000942297512665391,-0.10467660427093506,15557,0 days 00:00:03.293627
19,1.6954184047790477e-06,6.078670139686437e-06,0.0,0.0,524,8.137119418063576e-06,10,AdamW,0.7719874382019043,0.001082277507521212,-0.1179574728012085,15557,0 days 00:00:00.774161
139,1.7612881038076011e-06,2.2278277356235776e-06,0.0,0.0,842,0.0009973969560704925,7,AdamW,0.6821510791778564,0.0011001507518813014,-0.1613917350769043,15557,0 days 00:00:00.683627
99,1.784942469384987e-06,5.370394617898455e-08,0.0,0.0,778,3.919669083387167e-05,6,AdamW,0.601414680480957,0.0011724131181836128,-0.17698967456817627,15557,0 days 00:00:00.602913
15,1.8633406853041379e-06,1.567526282997278e-06,0.0,0.0,255,7.396103869959575e-06,9,AdamW,1.37259840965271,0.0012481618905439973,-0.22868525981903076,15557,0 days 00:00:01.373211
95,1.8643327166500967e-06,6.175184807943879e-07,0.0,0.0,711,0.0008376182452827657,10,AdamW,0.6672382354736328,0.0009861750295385718,-0.22933948040008545,15557,0 days 00:00:00.668243
25,2.035507350228727e-06,5.858256372448523e-06,0.0,0.0,1006,3.41961828209811e-05,11,AdamW,0.7919836044311523,0.0011061883997172117,-0.34221184253692627,15557,0 days 00:00:00.793018
133,2.039059836533852e-06,4.233713752910262e-06,0.0,0.0,646,1.0987051245220393e-05,10,AdamW,1.5628275871276855,0.0012165993684902787,-0.3445543050765991,15557,0 days 00:00:01.564288
32,2.329103381271125e-06,5.135092919772433e-07,0.0,0.0,461,0.00011928157270277881,6,AdamW,0.19993948936462402,0.001321024028584361,-0.5358086824417114,15557,0 days 00:00:00.200460
110,2.4445901090075495e-06,3.848512903914525e-07,0.0,0.0,561,3.57889422962996e-06,8,AdamW,2.563507556915283,0.0012972328113391995,-0.6119606494903564,15557,0 days 00:00:02.565447
87,2.5676224595372332e-06,5.946370492893038e-06,0.0,0.0,918,0.0006193577734325135,14,AdamW,1.4245936870574951,0.0013764381874352694,-0.6930882930755615,15557,0 days 00:00:01.427449
88,2.5821975668804953e-06,1.6762803625169909e-06,0.0,0.0,857,2.2544109038253236e-05,7,AdamW,0.8088369369506836,0.0013994092587381601,-0.702698826789856,15557,0 days 00:00:00.809585
56,2.6714242267189547e-06,5.982132734061452e-06,0.0,0.0,687,0.0004024946249488381,14,AdamW,1.2910361289978027,0.001334880362264812,-0.7615348100662231,15557,0 days 00:00:01.292108
85,2.751131205513957e-06,3.474493496469222e-06,0.0,0.0,948,0.0007631475014642985,11,AdamW,1.3310062885284424,0.0013016825541853905,-0.814093828201294,15557,0 days 00:00:01.332491
134,2.876790631489712e-06,6.3536263041896746e-06,0.0,0.0,812,0.0006571793939250851,11,AdamW,0.9508702754974365,0.0012968024238944054,-0.8969534635543823,15557,0 days 00:00:00.951941
3,2.9150760383345187e-06,7.04825379216345e-06,0.0,0.0,930,5.3607636052668587e-05,21,AdamW,2.2756688594818115,0.0014671272365376353,-0.9221985340118408,15557,0 days 00:00:02.280893
